Sa [cm/s^2],EDP [cm]
149.726952,2.916427002
122.3723693,3.106960398
242.9198363,4.039586421
567.4584814,10.24380294
222.1580751,5.0372161
253.9030417,2.924452604
140.9080933,3.278030881
484.0484985,7.128180645
232.8419183,3.598109794
281.9493299,5.435000198
139.9911319,2.342119216
328.5704005,4.227862408
263.7871958,4.824613165
127.1344418,2.38611597
223.6517661,3.790027016
177.4100395,4.199194137
231.11707,3.333239553
194.9925637,3.561906154
200.6599882,4.164724212
134.7457029,1.894612699
188.4063156,3.351943333
315.2639641,4.543593023
500.4300065,7.472808041
126.8633484,2.619363254
674.7628501,8.317209196
451.3339694,4.986452117
237.6781511,4.903216753
190.3821937,4.832009136
157.7934571,3.257410051
325.285262,6.037356385
158.0955539,2.909258483
176.4668663,2.811712625
333.1928535,5.176782811
269.6835909,2.839978782
335.2658932,7.611584876
278.590633,5.513711798
181.6245558,1.982084474
172.1878202,2.179992839
319.7394549,5.561807035
159.8539297,2.778844733
384.4726358,5.440716692
318.88487,3.167471672
251.4469029,4.158984533
219.8271841,3.825614854
260.8715836,4.871168
1161.250114,8.382894591
208.1387333,4.564666202
105.2157266,1.625506451
542.3845064,7.153489919
292.7729162,6.642642516
161.6214372,4.112631293
755.7391866,9.907260666
284.7398957,5.794866033
252.2180288,2.998777096
151.9998202,3.45284328
132.7231399,3.201604154
95.19743996,1.524109779
179.7449171,3.269446941
133.466761,5.305674211
298.062993,5.838233799
188.9110599,4.507416389
506.2118615,7.831983013
448.0423534,4.548130125
237.1737677,2.365945435
192.0480551,3.242328496
378.2588232,4.17113503
127.7058596,1.695599541
301.7382853,4.436276156
160.0108577,3.239889387
181.6738467,5.680603368
159.8077032,2.572534768
288.0787298,4.550136274
151.9818911,5.467286153
132.8089916,1.937678626
285.0127878,4.708053574
179.7016785,2.944501499
260.3754335,5.799461288
185.8782818,3.32671787
249.2966598,5.552673362
65.36070947,1.680691941
273.5222557,5.203929086
526.8438592,4.481590888
358.6180916,4.315196419
337.5142545,3.546956152
195.9918971,2.27567684
239.084671,4.909182452
246.3360191,5.191171667
229.7178686,3.63969198
148.2678513,2.124673455
185.8464162,4.229884585
202.0989434,5.496875437
174.9090885,3.706940651
325.9106587,3.93435771
728.0611661,7.770569058
117.472018,2.775032745
233.2109068,3.87372217
111.0483446,2.895177819
406.0992272,4.430709864
427.2343861,8.795563177
100.0794629,1.91319491
549.7572646,5.921278096
131.4895148,1.856565383
244.3160488,4.916052985
368.8650033,4.87928738
235.2966095,3.575168715
649.2033803,7.282893377
805.5884854,7.183658392
234.3126616,3.187030262
89.16213327,1.837187222
184.7312564,5.627484454
147.0373936,2.473652402
152.9426487,3.445798189
128.8458154,1.942492321
227.7509446,4.692257561
593.7444483,9.474982601
156.5170961,3.429892802
192.2521063,3.645413619
380.8242823,3.402642274
389.2536627,5.334842904
276.0764889,5.032134152
356.3766476,3.255673512
331.170036,4.416226863
183.2740718,4.35574801
268.7868151,4.263681014
190.5689867,4.668265244
143.4859629,2.454157431
296.2368428,6.241993281
226.5989088,3.89011652
200.9237771,4.073754195
251.923176,2.781097493
349.983389,3.498023014
264.2597377,4.734639752
240.6202768,3.555537026
250.5059763,2.509156182
224.8679284,3.30341018
152.2425282,2.550849829
318.2948877,3.834917344
427.0316988,4.292449166
170.5485282,3.214747481
545.6368722,7.712374757
201.9584155,2.792065261
195.6201528,4.718175632
143.6397609,2.363519108
150.9627462,1.66789694
139.9312008,2.644843521
259.4323234,5.079961898
466.716596,3.872220366
281.5991307,7.092552842
328.5951549,4.538750327
413.7161838,4.678835733
67.39604468,1.662808357
202.7889863,2.996746512
259.323259,5.259675086
308.0107217,6.570792338
118.5021366,2.607837964
136.4781666,2.578273496
318.8820831,3.085934789
207.7326066,2.878452934
285.0278116,4.435854271
139.4251175,1.567103895
101.4474563,1.586090138
314.4717035,4.923963401
385.6819463,4.001359982
474.5040394,5.238605329
106.4356863,2.328791734
116.7242652,2.419695026
109.4098668,2.266694324
215.2148698,6.744202305
164.1144342,3.509327405
408.3395916,4.808913215
110.3847893,2.240563027
96.37680542,2.703462512
241.8456547,6.237910561
385.6133123,6.555493726
150.2168021,2.265578316
120.7177895,2.817736119
204.5426484,4.011738516
101.3208166,2.380358911
221.2981509,3.619084116
324.6124261,4.583856649
243.2702964,4.030431454
89.07041725,1.622393454
170.3292748,3.535370687
190.3079443,3.245515452
516.9876582,9.5853053
338.145438,6.052640764
213.6531544,3.791644251
407.4161591,8.06047965
133.9952936,3.186457265
186.1966229,3.532707918
427.7694682,4.686762418
446.3103209,8.615497796
309.9259196,4.537858508
276.7569465,3.94360035
166.4080766,3.005678484
312.0595376,6.204345001
148.4299767,2.829619262
287.9279507,3.315527318
250.7494401,3.738014118
375.9680177,4.383137177
179.4947562,2.938094552
296.4320389,3.287815882
319.2580773,5.25008732
143.587086,2.451329178
236.3053465,3.064978627
466.7667744,5.436020948
231.465795,5.259588944
189.7162027,2.41127183
272.3355525,4.836559873
192.7444901,3.466397227
270.6023112,3.122984566
205.9549196,3.518801969
217.6002914,2.855877415
272.8673556,5.300270838
417.735863,6.713612584
271.7206709,4.133721087
478.177703,4.980360394
84.19694676,1.58935516
177.5225241,2.749478399
245.3771456,4.323902494
147.9387216,3.774532176
120.1307976,2.86117403
293.768851,4.020410291
293.1680923,2.771592425
251.6441124,3.333098083
264.5571971,4.575722317
145.4861144,2.057765724
173.5072454,3.070339464
208.7063095,5.139068923
158.602414,4.378053143
